task,model,layer,score,direction,auroc,N,pos_rate,results_file
pubmedqa,biomistral,4,lntp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.results.jsonl
pubmedqa,biomistral,16,lntp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.results.jsonl
pubmedqa,biomistral,24,lntp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_24\pubmedqa_biomistral_layer24.B5000.results.jsonl
pubmedqa,biomistral,32,lntp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_32\pubmedqa_biomistral_layer32.B5000.results.jsonl
pubmedqa,biomistral,4,mtp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_4\pubmedqa_biomistral_layer4.B5000.results.jsonl
pubmedqa,biomistral,16,mtp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_16\pubmedqa_biomistral_layer16.B5000.results.jsonl
pubmedqa,biomistral,24,mtp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_24\pubmedqa_biomistral_layer24.B5000.results.jsonl
pubmedqa,biomistral,32,mtp,1,0.598657800511509,1000,0.425,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_biomistral\layer_32\pubmedqa_biomistral_layer32.B5000.results.jsonl
pubmedqa,mistral,4,egh_probe_oof,1,0.7173089008169522,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_4\pubmedqa_mistral_layer4.B5000.results.jsonl
pubmedqa,mistral,16,egh_probe_oof,1,0.7173089008169522,1000,0.513,C:\Users\nikla\Desktop\Peojekt\uqlm_white_box_scorer\phase_2_medical\outputs\ablations\hidden_layers\pubmedqa_mistral\layer_16\pubmedqa_mistral_layer16.B5000.results.jsonl
